# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DiskQueryRelay.tasksRequested,1763978039072000000,1763978062755000000,34
DiskQueryRelay.taskWaitingTotalTimeUs,1763978039072000000,1763978062755000000,8227
lexer.LogcatFilter.size.bytes,1763978039072000000,1763978062755000000,0
parser.LogcatFilter.size.bytes,1763978039072000000,1763978062755000000,0
writeAction.count,1763978039072000000,1763978062755000000,5
writeAction.median.wait.ms,1763978039072000000,1763978062755000000,0
writeAction.wait.ms,1763978039072000000,1763978062755000000,2
DiskQueryRelay.taskExecutionTotalTimeUs,1763978039072000000,1763978062755000000,2136
parser.LogcatFilter.time.ns,1763978039072000000,1763978062755000000,37246667
DiskQueryRelay.tasksExecuted,1763978039072000000,1763978062755000000,34
FilePageCache.uncachedFileAccess,1763978039072000000,1763978062755000000,208
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1763978039072000000,1763978062755000000,41943040
DirectByteBufferAllocator.hits,1763978039072000000,1763978062755000000,3
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1763978039072000000,1763978062755000000,41943040
StorageLockContext.competingThreads.avg,1763978039072000000,1763978062755000000,0.13636363636363635
FilePageCache.totalPageDisposalsUs,1763978039072000000,1763978062755000000,2954
FilePageCache.pageHits,1763978039072000000,1763978062755000000,0
FilePageCache.maxCacheSizeInBytes,1763978039072000000,1763978062755000000,160432128
FileChannelInterruptsRetryer.totalRetriedAttempts,1763978039072000000,1763978062755000000,0
FilePageCache.disposedBuffers,1763978039072000000,1763978062755000000,156
FilePageCache.maxRegisteredFiles,1763978039072000000,1763978062755000000,414
StorageLockContext.competingThreads.90P,1763978039072000000,1763978062755000000,0
FilePageCache.totalPageLoadsUs,1763978039072000000,1763978062755000000,192248
FilePageCache.pageLoads,1763978039072000000,1763978062755000000,156
DirectByteBufferAllocator.misses,1763978039072000000,1763978062755000000,153
DirectByteBufferAllocator.disposed,1763978039072000000,1763978062755000000,113
FilePageCache.capacityInBytes,1763978039072000000,1763978062755000000,629145600
FilePageCache.pageLoadsAboveSizeThreshold,1763978039072000000,1763978062755000000,0
DirectByteBufferAllocator.reclaimed,1763978039072000000,1763978062755000000,43
StorageLockContext.competingThreads.max,1763978039072000000,1763978062755000000,6
FilePageCache.pageFastCacheHits,1763978039072000000,1763978062755000000,10804
VFS.fileByIdCache.hits,1763978039072000000,1763978062755000000,0
VFS.invertedFileNameIndex.requests,1763978039072000000,1763978062755000000,0
VFS.fileChildByName,1763978039072000000,1763978062755000000,4
VFS.fileByIdCache.misses,1763978039072000000,1763978062755000000,0
cacheStateStorage.set.counter,1763978039072000000,1763978062755000000,7
cacheStateStorage.get.counter,1763978039072000000,1763978062755000000,10
cacheStateStorage.get.duration,1763978039072000000,1763978062755000000,0
cacheStateStorage.set.duration,1763978039072000000,1763978062755000000,20
Indexing.writesQueuedMin,1763978039072000000,1763978062755000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1763978039072000000,1763978062755000000,0
Indexing.cache.totalCacheMisses,1763978039072000000,1763978062755000000,0
Indexing.writesQueuedAvg,1763978039072000000,1763978062755000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1763978039072000000,1763978062755000000,0
Indexing.cache.totalCacheAccesses,1763978039072000000,1763978062755000000,0
Indexing.totalTimeIndexersSleptMs,1763978039072000000,1763978062755000000,0
Indexing.cache.totalCacheEvicted,1763978039072000000,1763978062755000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1763978039072000000,1763978062755000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1763978039072000000,1763978062755000000,0
Indexing.writesQueuedMax,1763978039072000000,1763978062755000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1763978039072000000,1763978062755000000,424957
NonBlockingReadAction.failedExecutionTimeUs,1763978039072000000,1763978062755000000,0
NonBlockingReadAction.finalizedExecutionsCount,1763978039072000000,1763978062755000000,21
NonBlockingReadAction.failedExecutionsCount,1763978039072000000,1763978062755000000,0
